Agile,,,
Python,,,
R,,,
Julia,,,
Java,,,
SQL,,,
SAS,,,
.NET,,,
AWS,,,
Cloud,,,
DevOps,MLOps,dev ops,ml ops
Full-stack,full stack,,
Frontend,front end,web developer,
Backend,back end,,
Visualization,visualisation,,
EDA,exploratory data analysis,,
ETL,extract transform load,,
Data mining,extract,,
Web scraping,,,
Data pipelines,pipelines,pipeline,
AI,artificial intelligence,,
ML,machine learning,,
Excel,,,
Tableau,,,
Qlik,,,
PowerBI,Power-BI,,
Google Data Studio,,,
Statistics,statistical,stats,
Supervised learning,Supervised,,
Unsupervised learning,Unsupervised,,
Regression,,,
Random Forest,,,
Graph Networks,,,
Neural Networks,Neural nets,,
SVM,,,
TensorFlow,tensor flow,,
PyTorch,,,
Caffe,,,
Scikit-learn,Scikit,,
Apache Spark,,,
Hadoop,,,
Feature extraction,,,
NLP,,,
Big data,large dataset,large datasets,
RPA,,,
UiPath,,,
Blueprism,,,
Solidatus,,,
Collibra,,,
MSSQL,,,
Vertica,,,
Redshift,,,
Snowflake,,,
Presto,,,
